Location,Airport,Scenario,10-1-hr (in),10-2-hr (in),10-3-hr (in),10-6-hr (in),10-12-hr (in),10-24-hr (in),,100-1-hr (in),100-2-hr (in),100-3-hr (in),100-6-hr (in),100-12-hr (in),100-24-hr (in)
"Bismark, ND",BIS,Atlas 14 St: BISMARCK MUNI AP,1.69,2.02,2.21,2.51,2.80,3.12,,2.89,3.51,3.89,4.46,4.90,5.30
"Bismark, ND",BIS,"CCSM4, RCP 8.5, 2050-2080",1.30,1.65,1.77,2.06,2.33,3.21,,2.63,3.54,3.72,4.28,4.85,5.96
"Bismark, ND",BIS,"GFDL-ESM2M, RCP 8.5, 2050-2080",1.25,1.61,1.75,2.05,2.31,3.39,,2.61,3.71,3.99,4.65,5.29,7.52
"Bismark, ND",BIS,"NorESM1-M, RCP 4.5, 2050-2080",1.44,1.85,1.98,2.30,2.59,3.50,,2.84,3.81,3.99,4.57,5.18,6.25
"Boston, MA",BOS,Atlas 14 St: BOSTON,1.60,2.14,2.51,3.24,4.06,4.98,,2.53,3.41,4.01,5.14,6.39,7.89
"Boston, MA",BOS,"GFDL-ESM2G, RCP 4.5, 2050-2080",1.53,2.02,2.44,3.16,3.89,5.24,,2.56,3.38,4.15,5.28,6.43,8.54
"Boston, MA",BOS,"HadGEM2-CC, RCP 4.5, 2050-2080",1.61,2.13,2.60,3.37,4.15,5.58,,2.94,3.91,4.88,6.25,7.60,10.07
"Boston, MA",BOS,"HadGEM2-ES, RCP 4.5, 2050-2080",1.57,2.06,2.47,3.19,3.92,5.28,,2.37,3.13,3.78,4.80,5.85,7.78
"Burlington, VT",BTV,Atlas 14 St: HIGHGATE FALLS,1.42,1.72,1.91,2.27,2.67,3.11,,2.14,2.54,2.80,3.31,3.93,4.59
"Burlington, VT",BTV,"GFDL-ESM2G, RCP 4.5, 2050-2080",1.59,1.80,1.98,2.39,2.81,3.20,,2.61,2.84,3.12,3.68,4.41,4.97
"Burlington, VT",BTV,"HadGEM2-CC, RCP 4.5, 2050-2080",1.60,1.87,2.05,2.35,2.84,3.19,,3.07,3.54,3.83,4.12,5.19,5.69
"Burlington, VT",BTV,"HadGEM2-ES, RCP 4.5, 2050-2080",1.36,1.56,1.72,2.10,2.46,2.80,,2.45,2.66,2.93,3.49,4.15,4.70
"Cleveland, OH",CLE,Atlas 14 St: CLEVELAND WSFO AP,1.76,2.06,2.19,2.56,2.93,3.38,,2.64,3.19,3.44,4.16,4.74,5.22
"Cleveland, OH",CLE,"CCSM4, RCP 8.5, 2050-2080",1.20,1.64,1.78,2.16,2.45,3.66,,1.94,2.72,2.91,3.71,4.10,6.40
"Cleveland, OH",CLE,"GFDL-ESM2M, RCP 4.5, 2050-2080",1.43,1.99,2.15,2.66,2.98,4.35,,2.49,3.71,3.91,5.15,5.63,8.69
"Cleveland, OH",CLE,"HadGEM2-CC, RCP 8.5, 2050-2080",1.37,1.78,1.96,2.33,2.63,3.55,,2.04,2.61,2.86,3.47,3.84,4.99
"Houston, TX",IAH,Atlas 14 St: HOUSTON INTERCONT AP,3.21,4.24,4.93,6.16,7.39,8.71,,4.78,6.89,8.47,11.30,14.00,16.90
"Houston, TX",IAH,"GFDL-ESM2M, RCP 8.5",3.29,4.35,4.89,6.39,7.99,10.11,,4.94,6.65,7.51,10.23,13.15,16.65
"Houston, TX",IAH,"CSIRO-Mk3-6-0, RCP 4.5",3.36,4.47,5.02,6.61,8.29,10.46,,5.37,7.31,8.23,11.37,14.68,18.53
"Houston, TX",IAH,"bcc-csm1-1-m, RCP 4.5",3.20,4.19,4.72,6.10,7.59,9.64,,4.48,5.95,6.74,9.03,11.53,14.65
"Sioux Falls, SD",FSD,Atlas 14 St: SIOUX FALLS AP,2.06,2.53,2.80,3.21,3.54,3.83,,3.14,3.89,4.33,5.00,5.51,5.94
"Sioux Falls, SD",FSD,"CCSM4, RCP 8.5, 2050-2080",1.95,2.55,2.92,3.28,3.62,4.26,,3.60,4.78,5.64,6.20,6.78,7.15
"Sioux Falls, SD",FSD,"GFDL-ESM2M, RCP 8.5, 2050-2080",1.89,2.44,2.76,3.13,3.46,4.09,,2.94,3.82,4.40,4.92,5.41,5.84
"Sioux Falls, SD",FSD,"NorESM1-M, RCP 4.5, 2050-2080",1.99,2.60,2.97,3.35,3.69,4.32,,4.03,5.29,6.21,6.84,7.50,7.75
"Las Vegas, NV",LAS,Atlas 14 St: OVERTON,0.79,0.88,0.99,1.19,1.40,1.66,,1.40,1.51,1.59,1.89,2.11,2.47
