Country,Year,Drought,Flood,Earthquake,Extreme weather,Extreme temperature,Volcanic activity,Wildfire,Glacial lake outburst flood,Dry mass movement,Wet mass movement,Fog
Afghanistan,1900,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1900,0,0,0,0,0,0,0,0,0,100,0
Afghanistan,1900,0,150,11,0,0,0,0,0,0,0,0
Afghanistan,1900,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1900,9,0,0,0,0,0,0,0,0,0,0
Afghanistan,1900,13,0,4,0,327,0,0,0,0,0,0
Afghanistan,1900,15,81,1200,0,0,0,0,0,0,5,0
Afghanistan,1900,0,282,1,71,0,0,0,0,0,28,0
Afghanistan,1900,0,0,0,0,1317,0,0,0,0,0,0
Afghanistan,1900,0,62,0,21,0,0,0,0,0,0,0
Afghanistan,1900,0,101,0,0,0,0,0,0,0,12,0
Afghanistan,1900,0,171,0,0,0,0,0,0,0,40,0
Afghanistan,1900,0,376,0,0,0,0,0,0,0,20,0
Afghanistan,1901,0,252,1064,0,0,0,0,0,0,19,0
Afghanistan,1901,0,65,2451,0,166,0,0,0,0,0,0
Afghanistan,1901,0,51,100,0,0,0,0,0,0,0,0
Afghanistan,1901,0,107,0,0,0,0,0,0,0,0,0
Afghanistan,1902,0,51,50,0,0,0,0,0,0,0,0
Afghanistan,1902,0,120,0,0,0,0,0,0,0,0,0
Afghanistan,1902,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1902,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,1902,0,1193,154,0,80,0,0,0,0,0,0
Afghanistan,1902,0,600,14,0,0,0,0,0,0,0,0
Afghanistan,1902,0,27,0,0,0,0,0,0,0,354,0
Afghanistan,1902,0,70,0,0,0,0,0,0,0,0,0
Afghanistan,1902,0,70,5,0,0,0,0,0,0,100,0
Afghanistan,1902,0,30,7023,0,0,0,0,0,0,70,0
Afghanistan,1902,0,0,70,0,0,0,0,0,0,0,0
Afghanistan,1902,0,136,1,0,0,0,0,0,0,0,0
Afghanistan,1902,0,16,2,0,0,0,0,0,0,0,0
Afghanistan,1902,0,283,6,260,21,0,0,0,0,0,0
Afghanistan,1903,0,296,0,0,0,0,0,0,0,0,0
Afghanistan,1903,0,69,22,0,0,0,0,0,0,10,0
Afghanistan,1903,0,135,11,0,0,0,0,0,0,204,0
Afghanistan,1903,0,149,73,0,45,0,0,0,0,111,0
Afghanistan,1903,0,113,18,0,0,0,0,0,0,24,0
Afghanistan,1903,0,512,0,63,0,0,0,0,0,0,0
Afghanistan,1903,0,7,115,0,0,0,0,0,0,324,0
Afghanistan,1903,0,84,0,0,0,0,0,0,0,0,0
Afghanistan,1903,0,36,0,67,0,0,0,0,0,123,0
Afghanistan,1903,0,293,0,13,0,0,0,0,0,22,0
Afghanistan,1903,0,46,0,0,35,0,0,0,0,25,0
Afghanistan,1903,0,0,2000,0,0,0,0,0,0,0,0
Afghanistan,1903,0,0,500,0,0,0,0,0,0,0,0
Afghanistan,1903,0,0,12,0,0,0,0,0,0,0,0
Afghanistan,1903,0,0,1,0,0,0,0,0,0,0,0
Afghanistan,1903,0,0,160,0,0,0,0,0,0,0,0
Afghanistan,1904,0,0,0,10,0,0,0,0,0,215,0
Afghanistan,1904,0,0,0,0,144,0,0,0,0,0,0
Afghanistan,1904,0,0,0,0,0,0,0,0,0,70,0
Africa,1904,11000,0,0,0,0,0,0,0,0,0,0
Africa,1904,0,0,0,0,0,17,0,0,0,0,0
Africa,1904,0,0,0,0,0,0,0,0,0,0,0
Africa,1904,0,0,0,0,0,0,0,0,0,0,0
Africa,1904,16990,0,12,0,0,0,0,0,0,0,0
Africa,1904,16990,0,0,0,0,0,0,0,0,0,0
Africa,1905,16990,0,0,0,0,0,0,0,0,0,0
Africa,1905,16990,0,0,0,0,0,0,0,0,0,0
Africa,1905,17040,0,0,0,0,0,0,0,0,0,0
Africa,1905,24000,0,0,0,0,0,0,0,0,0,0
Africa,1905,4006,0,0,0,0,0,0,0,0,0,0
Africa,1905,3995,0,0,0,0,0,0,0,0,0,0
Africa,1905,3995,0,0,0,0,0,0,0,0,0,0
Africa,1905,3995,0,0,0,0,0,0,0,0,0,0
Africa,1905,4009,0,0,0,0,0,0,0,0,0,0
Africa,1905,30000,0,276,0,0,0,0,0,0,0,0
Africa,1905,50,125,4,0,0,0,0,0,0,0,0
Africa,1905,2000,75,2,0,0,0,0,0,0,0,0
Africa,1905,0,57,128,0,0,0,0,0,0,0,0
Africa,1905,0,20,10,0,0,0,0,0,0,154,0
Africa,1905,0,41,0,29,0,0,0,0,0,154,0
Africa,1906,0,616,46,81,0,0,0,0,0,0,0
Africa,1906,0,11,0,70,0,0,0,0,0,0,0
Africa,1906,0,500,0,0,0,0,0,0,0,0,0
Africa,1906,0,0,0,93,0,0,0,0,0,0,0
Africa,1906,1669,132,0,0,0,0,0,0,0,0,0
Africa,1906,20427,62,0,0,0,0,0,0,0,0,0
Africa,1906,28756,26,0,28,0,0,0,0,0,0,0
Africa,1906,28782,0,0,16,0,0,0,0,0,0,0
Africa,1906,19655,411,0,26,0,212,0,0,0,0,0
Africa,1906,19711,120,0,174,0,0,0,0,0,0,0
Africa,1906,0,66,0,8,0,0,0,0,0,0,0
Africa,1906,0,0,2633,25,0,0,0,0,0,10,0
Africa,1906,20109,177,0,107,0,0,0,0,0,0,0
Africa,1906,20708,229,0,95,0,0,0,0,46,1,0
Africa,1906,182505,0,443,86,0,0,0,0,0,0,0
Africa,1906,254837,54,0,383,0,37,0,0,0,0,0
Africa,1906,75341,104,30,2,0,0,0,0,0,0,0
Africa,1906,0,23,0,99,0,1746,0,0,0,0,0
Africa,1906,1017,524,1,65,0,0,0,0,0,0,0
Africa,1907,31,450,0,161,0,0,0,0,31,0,0
Africa,1907,279,89,31,57,0,0,0,0,0,0,0
Africa,1907,42,315,10,2,0,0,0,0,0,0,0
Africa,1907,42,522,0,40,0,0,0,0,13,0,0
Africa,1907,43,21,561,0,18,0,0,0,0,0,0
Africa,1907,0,111,3,24,0,0,0,0,34,15,0
Africa,1907,0,1085,178,490,0,0,0,0,0,22,0
Africa,1907,0,1200,10,0,32,0,0,0,0,0,0
Africa,1907,0,374,0,37,52,0,0,0,0,34,0
Africa,1907,0,3022,15,192,0,0,0,0,0,20,0
Africa,1907,12,272,0,18,0,0,0,0,0,87,0
Africa,1908,21,395,22,327,0,0,0,0,0,0,0
Africa,1908,86,1191,1,196,3,0,0,0,0,49,0
Africa,1908,149,1592,0,18,0,0,0,0,0,36,0
Africa,1908,617,480,47,89,60,200,0,0,0,16,0
Africa,1908,9,424,2275,152,40,0,0,0,0,20,0
Africa,1908,80,267,943,412,0,0,0,0,0,0,0
Africa,1908,114,383,10,108,0,1,0,0,0,0,0
Africa,1908,35,1485,8,8,0,0,0,0,0,24,0
Africa,1909,0,919,0,112,22,5,0,0,0,20,0
Africa,1909,1,530,47,129,0,0,0,0,98,10,0
Africa,1909,3,642,4,49,0,0,0,0,0,27,0
Africa,1909,10000,674,0,183,0,0,0,0,0,490,0
Africa,1909,10000,672,0,137,0,0,0,0,0,0,0
Africa,1909,0,848,0,160,0,0,0,0,0,18,0
Africa,1909,0,735,0,216,0,0,0,0,0,0,0
Africa,1909,0,501,7,67,0,0,0,0,0,11,0
Africa,1909,0,950,3,198,126,0,0,0,0,18,0
Africa,1909,0,851,21,97,11,0,0,0,0,65,0
Africa,1909,0,324,0,400,0,0,0,0,0,1282,0
Africa,1909,0,742,0,152,0,0,0,0,0,130,0
Africa,1909,0,946,0,1306,8,0,0,0,0,411,0
Africa,1909,0,1311,0,33,0,0,0,0,0,22,0
Africa,1909,0,369,0,66,0,32,0,0,0,0,0
Africa,1909,2465,2113,0,384,0,0,0,0,0,38,0
Africa,1909,0,4345,2946,13840,0,0,0,0,0,188,0
Africa,1909,0,36,0,74,0,0,0,0,0,22,0
Africa,1909,0,3000,0,0,0,0,0,0,0,0,0
Africa,1909,0,131,0,500,0,0,0,0,0,0,0
Africa,1909,0,25,0,35,0,0,0,0,0,0,0
Africa,1910,0,30,1250,0,0,0,0,0,0,0,0
Africa,1910,0,51,0,0,0,0,0,0,0,0,0
Africa,1910,0,200,30,0,0,0,0,0,0,0,0
Africa,1910,0,40,0,0,0,0,0,0,0,0,0
Africa,1910,0,169,300,0,0,0,0,0,0,0,0
Africa,1910,0,0,100,0,0,0,0,0,0,0,0
