SCHOOL,COUNTY,GRAD
Cayuga HS,Anderson County,100.0
Cayuga HS,Anderson County,100.0
Elkhart HS,Anderson County,100.0
Elkhart HS,Anderson County,100.0
Frankston HS,Anderson County,98.1
Frankston HS,Anderson County,98.1
Neches HS,Anderson County,100.0
Neches HS,Anderson County,100.0
Palestine HS,Anderson County,96.9
Palestine HS,Anderson County,96.9
Westwood HS,Anderson County,99.0
Westwood HS,Anderson County,99.0
Slocum HS,Anderson County,93.1
Slocum HS,Anderson County,96.4
Andrews HS,Andrews County,99.2
Andrews HS,Andrews County,99.2
Andrews Education Center,Andrews County,48.9
Andrews Education Center,Andrews County,51.2
Pineywoods Community Academy HS,Angelina County,98.5
Pineywoods Community Academy HS,Angelina County,98.5
Hudson HS,Angelina County,95.5
Hudson HS,Angelina County,95.4
Stubblefield Lrn Ctr,Angelina County,81.3
Stubblefield Lrn Ctr,Angelina County,81.3
Lufkin HS,Angelina County,95.2
Lufkin HS,Angelina County,95.4
Stubblefield Lrn Ctr,Angelina County,41.9
Stubblefield Lrn Ctr,Angelina County,42.5
Huntington HS,Angelina County,97.6
Huntington HS,Angelina County,100.0
Pride Alter Sch,Angelina County,85.0
Pride Alter Sch,Angelina County,88.9
Diboll HS,Angelina County,98.3
Diboll HS,Angelina County,100.0
Stubblefield Lrn Ctr,Angelina County,33.3
Stubblefield Lrn Ctr,Angelina County,33.3
Zavalla HS,Angelina County,86.4
Zavalla HS,Angelina County,86.4
Central HS,Angelina County,97.8
Central HS,Angelina County,97.8
Stubblefield Lrn Ctr,Angelina County,-1
Stubblefield Lrn Ctr,Angelina County,-1
Rockport-Fulton HS,Aransas County,93.3
Rockport-Fulton HS,Aransas County,96.1
Archer City HS,Archer County,100.0
Archer City HS,Archer County,100.0
Holliday HS,Archer County,98.8
Holliday HS,Archer County,98.8
Windthorst HS,Archer County,100.0
Windthorst HS,Archer County,100.0
Claude Schools,Armstrong County,100.0
Claude Schools,Armstrong County,100.0
Charlotte HS,Atascosa County,96.6
Charlotte HS,Atascosa County,96.6
Jourdanton HS,Atascosa County,99.1
Jourdanton HS,Atascosa County,99.1
Lytle HS,Atascosa County,93.1
Lytle HS,Atascosa County,93.0
Pleasanton HS,Atascosa County,96.4
Pleasanton HS,Atascosa County,96.4
Pleasanton ISD School of Choice,Atascosa County,78.9
Pleasanton ISD School of Choice,Atascosa County,78.6
Poteet HS,Atascosa County,86.6
Poteet HS,Atascosa County,88.0
Bellville HS,Austin County,99.3
Bellville HS,Austin County,99.3
Sealy HS,Austin County,96.1
Sealy HS,Austin County,97.5
Brazos HS,Austin County,93.9
Brazos HS,Austin County,95.1
Muleshoe HS,Bailey County,98.9
Muleshoe HS,Bailey County,98.9
Medina School,Bandera County,95.0
Medina School,Bandera County,95.0
Bandera HS,Bandera County,90.9
Bandera HS,Bandera County,92.7
Bastrop HS,Bastrop County,97.5
Bastrop HS,Bastrop County,99.4
Cedar Creek HS,Bastrop County,97.0
Cedar Creek HS,Bastrop County,98.5
Colorado River Collegiate Academy,Bastrop County,98.1
Colorado River Collegiate Academy,Bastrop County,98.1
Genesis HS,Bastrop County,87.9
Genesis HS,Bastrop County,91.9
Elgin HS,Bastrop County,88.6
Elgin HS,Bastrop County,89.1
Phoenix HS,Bastrop County,63.3
Phoenix HS,Bastrop County,82.4
Smithville HS,Bastrop County,89.5
Smithville HS,Bastrop County,90.7
McDade HS,Bastrop County,69.6
McDade HS,Bastrop County,72.7
Seymour HS,Baylor County,93.3
Seymour HS,Baylor County,93.3
AC Jones HS,Bee County,94.0
AC Jones HS,Bee County,94.5
Pettus Secondary,Bee County,96.8
Pettus Secondary,Bee County,96.8
Skidmore-Tynan HS,Bee County,96.5
Skidmore-Tynan HS,Bee County,96.5
Richard Milburn Alter HS,Bell County,35.6
Richard Milburn Alter HS,Bell County,36.0
Richard Milburn Academy Odessa,Bell County,27.5
Richard Milburn Academy Odessa,Bell County,30.7
Richard Milburn Academy Lubbock,Bell County,29.8
Richard Milburn Academy Lubbock,Bell County,36.2
Richard Milburn Academy Houston,Bell County,28.7
Richard Milburn Academy Houston,Bell County,39.7
Richard Milburn Academy Fort Worth,Bell County,16.7
Richard Milburn Academy Fort Worth,Bell County,13.9
Richard Milburn Academy Corpus,Bell County,50.8
Richard Milburn Academy Corpus,Bell County,60.5
Richard Milburn Academy Amarillo,Bell County,35.7
Richard Milburn Academy Amarillo,Bell County,35.9
Richard Milburn Academy Pasadena,Bell County,15.4
Richard Milburn Academy Pasadena,Bell County,21.9
Richard Milburn Academy Midland,Bell County,26.9
Richard Milburn Academy Midland,Bell County,28.8
Priority Charter Schools,Bell County,92.9
Priority Charter Schools,Bell County,92.9
Priority Charter Schools Temple,Bell County,80.0
Priority Charter Schools Temple,Bell County,80.0
Gateway Tech HS,Bell County,65.0
Gateway Tech HS,Bell County,68.4
Gateway College Preparatory School,Bell County,100.0
Gateway College Preparatory School,Bell County,100.0
Academy HS,Bell County,97.6
Academy HS,Bell County,97.6
Bartlett Schools,Bell County,96.0
Bartlett Schools,Bell County,100.0
Belton HS,Bell County,91.6
Belton HS,Bell County,96.7
Holland HS,Bell County,97.9
Holland HS,Bell County,100.0
Killeen HS,Bell County,84.3
Killeen HS,Bell County,85.7
CE Ellison HS,Bell County,89.4
CE Ellison HS,Bell County,93.0
Pathways Academic Campus,Bell County,73.0
Pathways Academic Campus,Bell County,74.1
Harker Heights HS,Bell County,91.3
Harker Heights HS,Bell County,92.6
Robert M Shoemaker HS,Bell County,87.7
Robert M Shoemaker HS,Bell County,88.3
Killeen ISD ECHS,Bell County,98.0
Killeen ISD ECHS,Bell County,98.0
Rogers HS,Bell County,98.5
Rogers HS,Bell County,100.0
Salado HS,Bell County,98.3
Salado HS,Bell County,98.9
Temple HS,Bell County,88.5
Temple HS,Bell County,94.9
Fred W Edwards Academy AEC,Bell County,94.0
Fred W Edwards Academy AEC,Bell County,97.9
Troy HS,Bell County,98.2
Troy HS,Bell County,98.2
Por Vida Academy Charter HS,Bexar County,50.7
Por Vida Academy Charter HS,Bexar County,62.3
Por Vida Academy Corpus Christi,Bexar County,60.0
Por Vida Academy Corpus Christi,Bexar County,73.7
George Gervin Academy,Bexar County,94.4
George Gervin Academy,Bexar County,94.4
Ruth Jones McClendon Middle,Bexar County,65.4
Ruth Jones McClendon Middle,Bexar County,76.2
Frank L Madla ECHS,Bexar County,100.0
Frank L Madla ECHS,Bexar County,100.0
Legacy Traditional School-Basse,Bexar County,100.0
Legacy Traditional School-Basse,Bexar County,100.0
Southwest Preparatory Southeast,Bexar County,80.0
Southwest Preparatory Southeast,Bexar County,80.0
Southwest Preparatory School,Bexar County,91.7
Southwest Preparatory School,Bexar County,91.7
New Directions,Bexar County,100.0
New Directions,Bexar County,100.0
Anne Frank Inspire Academy,Bexar County,100.0
Anne Frank Inspire Academy,Bexar County,100.0
JHW Inspire Academy-Legacy Ranch,Bexar County,-1
JHW Inspire Academy-Legacy Ranch,Bexar County,-1
Positive Solutions Charter,Bexar County,30.0
Positive Solutions Charter,Bexar County,26.7
Heritage Academy of Del Rio,Bexar County,100.0
Heritage Academy of Del Rio,Bexar County,100.0
Jubilee San Antonio,Bexar County,93.4
Jubilee San Antonio,Bexar County,95.0
Jubilee-Lake View University Prep,Bexar County,77.3
Jubilee-Lake View University Prep,Bexar County,77.3
Jubilee Brownsville,Bexar County,95.9
Jubilee Brownsville,Bexar County,95.9
SST SA College Prep HS,Bexar County,98.5
SST SA College Prep HS,Bexar County,98.5
Harmony Science Acad,Bexar County,98.9
Harmony Science Acad,Bexar County,98.8
Harmony School of Innovation,Bexar County,94.2
Harmony School of Innovation,Bexar County,95.6
Harmony School of Excellence,Bexar County,97.0
Harmony School of Excellence,Bexar County,98.5
Somerset Academy Brooks,Bexar County,92.9
Somerset Academy Brooks,Bexar County,94.0
Somerset Academy Collegiate,Bexar County,95.5
Somerset Academy Collegiate,Bexar County,95.4
SST Corpus Christi,Bexar County,98.1
SST Corpus Christi,Bexar County,98.1
Henry Ford Academy Alameda,Bexar County,68.0
Henry Ford Academy Alameda,Bexar County,68.0
Basis San Antonio-Shavano Campus,Bexar County,100.0
Basis San Antonio-Shavano Campus,Bexar County,100.0
Great Hearts Monte Vista North,Bexar County,97.9
Great Hearts Monte Vista North,Bexar County,100.0
Great Hearts Northern Oaks,Bexar County,98.4
Great Hearts Northern Oaks,Bexar County,98.4
Great Hearts Irving Upper,Bexar County,97.4
Great Hearts Irving Upper,Bexar County,97.4
Alamo Heights HS,Bexar County,97.4
Alamo Heights HS,Bexar County,98.4
Harlandale HS,Bexar County,89.9
Harlandale HS,Bexar County,90.3
McCollum HS,Bexar County,88.9
McCollum HS,Bexar County,89.5
HAC DAEP HS,Bexar County,-1
Frank M Tejeda Academy,Bexar County,80.1
