Year,Mulch,Rep,trt,dpi,log MPN/Cucumber,ytmdr_order,dpi4log,Year_Trt,Year_Mulch,Trt_Mulch,Year_Trt_Mulch,SM0,SM10,SM20,SM30,SM40,SM50,SM60,SM70,SM80,SM90,SM100,SM110,SM120,SMd10at10,SMd10at20,SMd10at30,SMd10at40,SMd10at50,SMd10at60,SMd10at70,SMd10at80,SMd10at90,SMd10at100,SMd10at110,SMd10at120,SolSalts0,SolSalts10,SolSalts20,SolSalts30,SolSalts40,SolSalts50,SolSalts60,SolSalts70,SolSalts80,SolSalts90,SolSalts100,SolSalts110,SolSalts120,SolSaltsDelta10,SolSaltsDelta20,SolSaltsDelta30,SolSaltsDelta40,SolSaltsDelta50,SolSaltsDelta60,SolSaltsDelta70,SolSaltsDelta80,SolSaltsDelta90,SolSaltsDelta100,SolSaltsDelta110,SolSaltsDelta120,DWBTWEC0,DWBTWEC10,DWBTWEC20,DWBTWEC30,DWBTWEC40,DWBTWEC50,DWBTWEC60,DWBTWEC70,DWBTWEC80,DWBTWEC90,DWBTWEC100,DWBTWEC110,DWBTWEC120,DWBTWECDelta10,DWBTWECDelta20,DWBTWECDelta30,DWBTWECDelta40,DWBTWECDelta50,DWBTWECDelta60,DWBTWECDelta70,DWBTWECDelta80,DWBTWECDelta90,DWBTWECDelta100,DWBTWECDelta110,DWBTWECDelta120,Rain0to10,Rain10to20,Rain20to30,Rain30to40,Rain40to50,Rain50to60,Rain60to70,Rain70to80,Rain80to90,Rain90to100,Rain100to110,Rain110to120,RainDelta20,RainDelta30,RainDelta40,RainDelta50,RainDelta60,RainDelta70,RainDelta80,RainDelta90,RainDelta100,RainDelta110,RainDelta120,SoilTemp0,SoilTemp10,SoilTemp20,SoilTemp30,SoilTemp40,SoilTemp50,SoilTemp60,SoilTemp70,SoilTemp80,SoilTemp90,SoilTemp100,SoilTemp110,SoilTemp120,SoilTempDelta10,SoilTempDelta20,SoilTempDelta30,SoilTempDelta40,SoilTempDelta50,SoilTempDelta60,SoilTempDelta70,SoilTempDelta80,SoilTempDelta90,SoilTempDelta100,SoilTempDelta110,SoilTempDelta120,AirTemp0,AirTemp10,AirTemp20,AirTemp30,AirTemp40,AirTemp50,AirTemp60,AirTemp70,AirTemp80,AirTemp90,AirTemp100,AirTemp110,AirTemp120,AirTempDelta10,AirTempDelta20,AirTempDelta30,AirTempDelta40,AirTempDelta50,AirTempDelta60,AirTempDelta70,AirTempDelta80,AirTempDelta90,AirTempDelta100,AirTempDelta110,AirTempDelta120,TotalNpct0,TotalNpct30,TotalNpct60,TotalNpct90,TotalNpct120,TotalCpct0,TotalCpct30,TotalCpct60,TotalCpct90,TotalCpct120,CNratio0,CNratio30,CNratio60,CNratio90,CNratio120,NO3_N0,NO3_N30,NO3_N60,NO3_N90,NO3_N120,DaysEC4LogRed,ECLogDelta10,ECLogDelta20,ECLogDelta30,ECLogDelta40,ECLogDelta50,ECLogDelta60,ECLogDelta70,ECLogDelta80,ECLogDelta90,ECLogDelta100,ECLogDelta110,ECLogDelta120,PctLogRed0to30,PctLogRed30to60,PctLogRed60to90,PctLogRed90to120
2018,M,1,CPL,54,2.18,1,99.286,2018.CPL,2018.M,CPL.M,2018.CPL.M,15.19,14.35,16.6,9,18.98,9.89,17.9,15.33,12.62,16.3,14.54,10.92,18.07,1.04,2.25,-7.6,9.98,-9.09,8.01,-2.57,-2.71,3.68,-1.76,-3.63,7.16,0.49,0.2,0.37,0.86,0.08,0.09,0.04,0.08,0.1,0.08,0.05,0.07,0.07,-0.15,0.17,0.49,-0.78,0.01,-0.05,0.04,0.02,-0.02,-0.03,0.02,0,137.9,121.77,163.17,104.02,66.75,115.32,106.4,118.57,131.48,125.38,89.37,55.68,127.06,-29.36,41.4,-59.15,-37.27,48.57,-8.92,12.17,12.92,-6.1,-36.01,-33.68,71.38,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.14,0.08,0.13,0.1,0.13,1.25,0.67,1.42,1.05,1.3,8.82,8.54,10.59,10.69,10.02,61.52,154.51,42.48,51.92,60.91,95,0,0,0,0,0,-2.247,-1.578,0,0,0,-0.459,0,0,0.525,0.369,0.107
2018,M,1,CPL,60,1.88,3,100,2018.CPL,2018.M,CPL.M,2018.CPL.M,15.19,14.35,16.6,9,18.98,9.89,17.9,15.33,12.62,16.3,14.54,10.92,18.07,1.04,2.25,-7.6,9.98,-9.09,8.01,-2.57,-2.71,3.68,-1.76,-3.63,7.16,0.49,0.2,0.37,0.86,0.08,0.09,0.04,0.08,0.1,0.08,0.05,0.07,0.07,-0.15,0.17,0.49,-0.78,0.01,-0.05,0.04,0.02,-0.02,-0.03,0.02,0,137.9,121.77,163.17,104.02,66.75,115.32,106.4,118.57,131.48,125.38,89.37,55.68,127.06,-29.36,41.4,-59.15,-37.27,48.57,-8.92,12.17,12.92,-6.1,-36.01,-33.68,71.38,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.14,0.08,0.13,0.1,0.13,1.25,0.67,1.42,1.05,1.3,8.82,8.54,10.59,10.69,10.02,61.52,154.51,42.48,51.92,60.91,95,0,0,0,0,0,-2.247,-1.578,0,0,0,-0.459,0,0,0.525,0.369,0.107
2018,M,1,CPL,69,2.18,5,97.143,2018.CPL,2018.M,CPL.M,2018.CPL.M,15.19,14.35,16.6,9,18.98,9.89,17.9,15.33,12.62,16.3,14.54,10.92,18.07,1.04,2.25,-7.6,9.98,-9.09,8.01,-2.57,-2.71,3.68,-1.76,-3.63,7.16,0.49,0.2,0.37,0.86,0.08,0.09,0.04,0.08,0.1,0.08,0.05,0.07,0.07,-0.15,0.17,0.49,-0.78,0.01,-0.05,0.04,0.02,-0.02,-0.03,0.02,0,137.9,121.77,163.17,104.02,66.75,115.32,106.4,118.57,131.48,125.38,89.37,55.68,127.06,-29.36,41.4,-59.15,-37.27,48.57,-8.92,12.17,12.92,-6.1,-36.01,-33.68,71.38,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.14,0.08,0.13,0.1,0.13,1.25,0.67,1.42,1.05,1.3,8.82,8.54,10.59,10.69,10.02,61.52,154.51,42.48,51.92,60.91,95,0,0,0,0,0,-2.247,-1.578,0,0,0,-0.459,0,0,0.525,0.369,0.107
2018,M,1,CPL,74,4.9,7,95.714,2018.CPL,2018.M,CPL.M,2018.CPL.M,15.19,14.35,16.6,9,18.98,9.89,17.9,15.33,12.62,16.3,14.54,10.92,18.07,1.04,2.25,-7.6,9.98,-9.09,8.01,-2.57,-2.71,3.68,-1.76,-3.63,7.16,0.49,0.2,0.37,0.86,0.08,0.09,0.04,0.08,0.1,0.08,0.05,0.07,0.07,-0.15,0.17,0.49,-0.78,0.01,-0.05,0.04,0.02,-0.02,-0.03,0.02,0,137.9,121.77,163.17,104.02,66.75,115.32,106.4,118.57,131.48,125.38,89.37,55.68,127.06,-29.36,41.4,-59.15,-37.27,48.57,-8.92,12.17,12.92,-6.1,-36.01,-33.68,71.38,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.14,0.08,0.13,0.1,0.13,1.25,0.67,1.42,1.05,1.3,8.82,8.54,10.59,10.69,10.02,61.52,154.51,42.48,51.92,60.91,95,0,0,0,0,0,-2.247,-1.578,0,0,0,-0.459,0,0,0.525,0.369,0.107
2018,M,2,CPL,54,2.18,2,98.571,2018.CPL,2018.M,CPL.M,2018.CPL.M,9.38,14.81,17.5,16.6,14.98,12.8,15.7,14.07,12.07,17,15.26,12.96,13.44,0.95,2.69,-0.9,-1.62,-2.18,2.9,-1.63,-2.01,4.93,-1.74,-2.31,0.48,0.38,0.13,0.34,0.85,0.05,0.06,0.05,0.07,0.12,0.05,0.08,0.06,0.09,-0.23,0.21,0.51,-0.8,0.01,-0.01,0.02,0.05,-0.07,0.03,-0.02,0.03,143.8,146.73,144.35,118.89,75.99,91.94,100.23,129.5,128.17,107.87,114.29,87.91,95.86,-70.51,-2.38,-25.46,-42.9,15.95,8.29,29.27,-1.33,-20.3,6.42,-26.37,7.95,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.1,0.09,0.11,0.13,0.07,1.02,0.78,1.7,1.75,0.76,9.78,9.12,14.95,13.17,10.45,37.89,188.5,42.47,38.71,27.05,100,0,0,0,0,0,-2.247,-1.578,0,0,0,-0.459,0,0,0.525,0.369,0.107
2018,M,2,CPL,60,3.02,4,97.857,2018.CPL,2018.M,CPL.M,2018.CPL.M,9.38,14.81,17.5,16.6,14.98,12.8,15.7,14.07,12.07,17,15.26,12.96,13.44,0.95,2.69,-0.9,-1.62,-2.18,2.9,-1.63,-2.01,4.93,-1.74,-2.31,0.48,0.38,0.13,0.34,0.85,0.05,0.06,0.05,0.07,0.12,0.05,0.08,0.06,0.09,-0.23,0.21,0.51,-0.8,0.01,-0.01,0.02,0.05,-0.07,0.03,-0.02,0.03,143.8,146.73,144.35,118.89,75.99,91.94,100.23,129.5,128.17,107.87,114.29,87.91,95.86,-70.51,-2.38,-25.46,-42.9,15.95,8.29,29.27,-1.33,-20.3,6.42,-26.37,7.95,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.1,0.09,0.11,0.13,0.07,1.02,0.78,1.7,1.75,0.76,9.78,9.12,14.95,13.17,10.45,37.89,188.5,42.47,38.71,27.05,100,0,0,0,0,0,-2.247,-1.578,0,0,0,-0.459,0,0,0.525,0.369,0.107
2018,M,2,CPL,69,2.18,6,95,2018.CPL,2018.M,CPL.M,2018.CPL.M,9.38,14.81,17.5,16.6,14.98,12.8,15.7,14.07,12.07,17,15.26,12.96,13.44,0.95,2.69,-0.9,-1.62,-2.18,2.9,-1.63,-2.01,4.93,-1.74,-2.31,0.48,0.38,0.13,0.34,0.85,0.05,0.06,0.05,0.07,0.12,0.05,0.08,0.06,0.09,-0.23,0.21,0.51,-0.8,0.01,-0.01,0.02,0.05,-0.07,0.03,-0.02,0.03,143.8,146.73,144.35,118.89,75.99,91.94,100.23,129.5,128.17,107.87,114.29,87.91,95.86,-70.51,-2.38,-25.46,-42.9,15.95,8.29,29.27,-1.33,-20.3,6.42,-26.37,7.95,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.1,0.09,0.11,0.13,0.07,1.02,0.78,1.7,1.75,0.76,9.78,9.12,14.95,13.17,10.45,37.89,188.5,42.47,38.71,27.05,100,0,0,0,0,0,-2.247,-1.578,0,0,0,-0.459,0,0,0.525,0.369,0.107
2018,M,2,CPL,74,2.38,8,96.429,2018.CPL,2018.M,CPL.M,2018.CPL.M,9.38,14.81,17.5,16.6,14.98,12.8,15.7,14.07,12.07,17,15.26,12.96,13.44,0.95,2.69,-0.9,-1.62,-2.18,2.9,-1.63,-2.01,4.93,-1.74,-2.31,0.48,0.38,0.13,0.34,0.85,0.05,0.06,0.05,0.07,0.12,0.05,0.08,0.06,0.09,-0.23,0.21,0.51,-0.8,0.01,-0.01,0.02,0.05,-0.07,0.03,-0.02,0.03,143.8,146.73,144.35,118.89,75.99,91.94,100.23,129.5,128.17,107.87,114.29,87.91,95.86,-70.51,-2.38,-25.46,-42.9,15.95,8.29,29.27,-1.33,-20.3,6.42,-26.37,7.95,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.1,0.09,0.11,0.13,0.07,1.02,0.78,1.7,1.75,0.76,9.78,9.12,14.95,13.17,10.45,37.89,188.5,42.47,38.71,27.05,100,0,0,0,0,0,-2.247,-1.578,0,0,0,-0.459,0,0,0.525,0.369,0.107
2018,NoM,1,CPL,54,0,9,48.857,2018.CPL,2018.NoM,CPL.NoM,2018.CPL.NoM,12.16,22.13,17.7,17.4,18.01,11.78,17.6,14.36,7.35,17.1,15.95,12.1,13.55,4.41,-4.43,-0.3,0.61,-6.23,5.82,-3.24,-7.01,9.75,-1.15,-3.85,1.45,0.52,0.1,0.33,0.14,0.05,0.05,0.05,0.08,0.07,0.06,0.06,0.05,0.04,-0.08,0.23,-0.19,-0.09,0,0,0.03,-0.01,-0.01,0,-0.01,-0.01,174.6,141.63,138.55,79.04,56.77,93.94,81.84,140.83,110.24,76.08,111.61,109.35,79.15,-54.72,-3.08,-59.51,-22.27,37.18,-12.1,58.99,-30.59,-34.16,35.53,-2.26,-30.2,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.15,0.08,0.07,0.09,0.07,1.56,1.01,0.79,0.92,0.77,10.7,12.12,11.3,10.25,11.17,42.86,43.2,23.04,56.52,23.21,48,0,-2.155,0,-0.001,-2.206,-0.045,0,0,-0.16,-0.16,0,0,0.456,0.476,0.034,0.034
2018,NoM,1,CPL,60,2.18,11,49.429,2018.CPL,2018.NoM,CPL.NoM,2018.CPL.NoM,12.16,22.13,17.7,17.4,18.01,11.78,17.6,14.36,7.35,17.1,15.95,12.1,13.55,4.41,-4.43,-0.3,0.61,-6.23,5.82,-3.24,-7.01,9.75,-1.15,-3.85,1.45,0.52,0.1,0.33,0.14,0.05,0.05,0.05,0.08,0.07,0.06,0.06,0.05,0.04,-0.08,0.23,-0.19,-0.09,0,0,0.03,-0.01,-0.01,0,-0.01,-0.01,174.6,141.63,138.55,79.04,56.77,93.94,81.84,140.83,110.24,76.08,111.61,109.35,79.15,-54.72,-3.08,-59.51,-22.27,37.18,-12.1,58.99,-30.59,-34.16,35.53,-2.26,-30.2,0.31,0.01,0.03,2.52,3.65,2.09,3.16,1.03,4.1,0.47,2.4,0.62,-0.3,0.02,2.49,1.13,-1.56,1.07,-2.13,3.07,-3.63,1.93,-1.78,22.39,24.06,34.37,30.88,27.53,26.39,27.82,24.87,26.34,24.01,24.01,22.72,21.35,1.67,10.31,-3.49,-3.35,-1.13,1.43,-2.96,1.47,-2.33,0,-1.29,-1.37,24.83,25.44,27.44,24.67,25.17,25.06,24.28,21.33,24.89,23.78,20.83,21.83,15.33,0.61,2,-2.78,0.5,-0.11,-0.78,-2.94,3.56,-1.11,-2.94,1,-6.5,0.15,0.08,0.07,0.09,0.07,1.56,1.01,0.79,0.92,0.77,10.7,12.12,11.3,10.25,11.17,42.86,43.2,23.04,56.52,23.21,48,0,-2.155,0,-0.001,-2.206,-0.045,0,0,-0.16,-0.16,0,0,0.456,0.476,0.034,0.034
