Entity,Year,Drought,Flood,Earthquake,Extreme weather,Extreme temperature,Volcanic activity,Wildfire,Wet mass movement,Total
World,1900,1261000,300,140,6000,,30,,,1267470
World,1901,,,18,,,,,,18
World,1902,,,9148,600,,38690,,,48438
World,1903,0,250,6630,163,,17,,,7060
World,1904,,,152,0,,,,,152
World,1905,,,20688,240,,,,,20928
World,1906,0,6,22653,10298,,700,,,33657
World,1907,0,,13241,,,,,,13241
World,1908,,,75000,,,,,,75000
World,1909,,72,5478,713,,,,53,6316
World,1910,16990,1379,2522,30,,,,62,20983
World,1911,16990,100000,1297,1000,,1335,73,,120695
World,1912,16990,,923,51170,,,,,69083
World,1913,16990,,1230,732,,,,,18952
World,1914,17040,,4282,0,,140,,,21462
World,1915,,0,30156,2125,,,,56,32337
World,1916,,,181,300,,,,,481
World,1917,,0,19504,4057,,,,,23561
World,1918,,,10216,34,,,1000,,11250
World,1919,0,,,500,,5000,,,5500
World,1920,524000,0,182648,224,,,,,706872
World,1921,1200000,,,,,,,,1200000
World,1922,0,,1032,100000,,,43,100,101175
World,1923,0,,150947,3139,,,,200,154286
World,1924,,,1037,2242,,,,,3279
World,1925,,0,6140,819,,,,,6959
World,1926,,1000,12,3568,,144,,128,4852
World,1927,,3246,44252,5772,,,,,53270
World,1928,3000000,36,635,4224,,,,,3004895
World,1929,,,3270,0,,,60,,3330
World,1930,,,5563,4082,,1369,,40,11054
World,1931,0,3700000,14286,3200,,1300,,190,3718976
World,1932,0,,1627,3244,,,,30,4901
World,1933,0,18053,13326,63,,,,,31442
World,1934,0,,120,5091,,,,500,5711
World,1935,0,142000,67412,62707,,,,,272119
World,1936,0,200,611,3309,1693,,,73,5886
World,1937,0,248,425,11231,,506,,,12410
World,1938,0,954,149,905,,,,200,2208
World,1939,0,500010,63121,3,,,71,,563205
World,1940,4006,125,1402,123,,,,,5656
World,1941,3995,,2856,5146,,,,5000,16997
World,1942,1503995,,3426,101000,,,,,1608421
World,1943,1903995,990,6984,5000,,0,,,1916969
World,1944,4009,,15250,726,,26,170,,20181
World,1945,,,6943,4415,,0,,,11358
World,1946,30000,,5226,337,,0,,,35563
World,1947,0,2000,636,4738,,,0,,7374
World,1948,,917,116315,2971,,100,,525,120828
World,1949,,97000,9890,2804,,2000,80,12000,123774
World,1950,,3808,1950,873,,84,,130,6845
World,1951,,5666,4739,2861,69,4800,,92,18227
World,1952,,199,353,2277,,29,,28,2886
World,1953,,7125,2758,1814,669,150,,,12516
World,1954,,34436,3319,2969,,37,,1086,41847
World,1955,,584,489,3895,107,,,478,5553
World,1956,,3613,763,3114,,0,11,236,7737
World,1957,,2471,6970,1139,,0,,,10580
World,1958,,400,338,2620,651,,,52,4061
World,1959,,486335,69,9695,,,,48,496147
World,1960,0,968582,19931,9164,,0,,52,997729
World,1961,0,562919,100,12852,400,,,166,576437
World,1962,,1180,12078,1860,50,,,71,15239
World,1963,0,1031,1385,29965,162,1705,,2033,36281
World,1964,50,1123,335,10655,,4,,108,12275
World,1965,502000,1401,695,59932,100,355,0,230,564713
World,1966,508000,1923,2789,2327,262,1088,25,604,517018
World,1967,500199,2446,955,2255,,,62,590,506507
World,1968,199,7306,11571,1669,153,90,12,1196,22196
World,1969,202,1544,3380,3252,,0,0,18,8396
World,1970,0,3246,78181,304495,,,0,228,386150
World,1971,0,2404,1108,10811,400,0,,1051,15774
World,1972,0,2548,15183,1427,110,,,755,20023
World,1973,1669,1829,591,4344,283,0,0,3541,12257
World,1974,20427,29437,24829,11861,,,,904,87458
World,1975,28756,20848,4632,1041,140,2,,195,55614
World,1976,28782,960,277005,1763,,41,0,315,308866
World,1977,19655,2568,3098,15298,0,215,3,40,40877
World,1978,19774,5897,25162,3676,150,0,2,86,54747
World,1979,18,1038,2074,2623,470,268,0,338,6829
World,1980,0,10466,7639,1379,1389,90,0,300,21263
World,1981,20109,5283,3979,3790,300,192,8,421,34082
World,1982,20988,4409,2183,2782,400,130,2,653,31547
World,1983,182525,2321,2294,3590,205,0,106,1168,192209
World,1984,255067,2930,60,4934,290,37,17,228,263563
World,1985,75341,4376,9852,17165,456,21800,51,377,129418
World,1986,84,1782,1181,1939,50,1746,20,501,7303
World,1987,1317,6766,5151,2900,1220,0,191,1256,18801
World,1988,1431,8504,27039,3335,644,7,,952,41912
World,1989,279,4716,650,4262,381,0,1,445,10734
World,1990,42,2246,42845,4604,979,33,0,141,50890
World,1991,2042,5850,2454,146297,757,683,90,728,158901
World,1992,43,5236,4033,1344,466,1,122,712,11957
World,1993,0,6150,10088,2965,106,99,3,1653,21064
World,1994,0,6771,1242,4239,341,101,84,307,13085
World,1995,0,7894,7739,3763,1730,0,29,1521,22676
World,1996,0,8090,576,4581,300,4,45,1155,14751
World,1997,687,7588,3059,5674,604,53,266,801,18732
World,1998,65,10759,9573,25411,3269,0,150,1141,50368
World,1999,27,34809,21869,12270,771,0,70,445,70261
World,2000,142,5999,217,1365,934,0,47,1012,9716
World,2001,252,4975,21348,1911,1734,0,33,786,31039
World,2002,671,4179,1639,1380,2922,200,6,1100,12097
World,2003,45,3730,29617,1051,74809,0,47,616,109915
World,2004,80,7162,227290,6547,644,2,14,403,242142
World,2005,114,5649,76241,5233,1269,3,42,664,89215
World,2006,169,5868,6692,4347,5107,5,28,1638,23854
World,2007,0,8590,780,6013,1026,11,148,271,16839
World,2008,5,4032,87918,140985,1703,16,86,504,235249
World,2009,3,3523,1893,3287,1230,0,190,651,10777
World,2010,10000,8300,226733,1543,57171,323,166,3499,307735
World,2011,10000,6279,20946,3124,653,3,9,309,41323
World,2012,0,3633,711,3105,1620,0,22,501,9592
World,2013,0,9778,1120,8598,2035,0,35,235,21801
World,2014,0,3523,774,1432,1168,102,16,960,7975
World,2015,35,3484,9550,1288,7425,0,78,1006,22866
World,2016,0,4438,1311,1759,490,0,40,357,8395
World,2017,0,3349,1012,2543,359,0,178,2312,9753
World,2018,0,2881,5061,1726,597,914,221,248,11648
World,2019,79,5074,261,2514,3125,21,105,744,11923
World,2020,47,6397,196,1758,6633,1,86,514,15632
World,2021,4,4137,2742,1893,1044,104,127,224,10275
World,2022,2601,8011,1626,1583,61782,6,77,403,76089
World,2023,247,7617,62451,14678,406,23,263,654,86339
World,2024,0,212,313,208,35,0,437,315,1520
